"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0045917","positive regulation of complement activation",3,-0.922694157760573,-1.59351242933177,0.0157432499599221,0.216395305843057,0.143571787733178,506,"tags=67%, list=4%, signal=64%","5245/3553",0.352487857583619
"GO:0033145","positive regulation of intracellular steroid hormone receptor signaling pathway",11,-0.632232186535501,-1.59277566675096,0.0249588442281581,0.277761666290305,0.184286525244536,1291,"tags=27%, list=9%, signal=25%","79447/142/5536",0.352487857583619
"GO:0044321","response to leptin",15,0.566297565459002,1.59237477457057,0.0273330071284657,0.289385134931287,0.191998347670373,61,"tags=13%, list=0%, signal=13%","7357/3625",0.352487857583619
"GO:0006403","RNA localization",186,-0.355217728348323,-1.59220714945165,0.000757738195438903,0.0348219491093269,0.0231033176366854,1924,"tags=22%, list=14%, signal=19%","100101267/10574/9883/8086/5976/7263/55505/8570/23381/84321/55011/8563/677/55651/10482/10212/2079/7203/6396/55135/6830/29074/22948/10204/10189/57510/23511/5901/3182/29107/79902/24148/8607/9775/23636/8021/10856/8480/2091/9688/65083",0.477270815362862
"GO:0002637","regulation of immunoglobulin production",35,-0.47378054150757,-1.58796707741553,0.0172486158872307,0.231399239619561,0.153526447271335,3537,"tags=46%, list=25%, signal=34%","942/149840/933/56941/2590/4292/11331/7040/23529/10459/2821/6830/6810/90865/5245/5950",0.352487857583619
"GO:0035739","CD4-positive, alpha-beta T cell proliferation",10,-0.656391129141192,-1.58742397864949,0.0236500898141287,0.272486132838863,0.180786367207748,1536,"tags=40%, list=11%, signal=36%","654346/284194/975/64115",0.352487857583619
"GO:2000561","regulation of CD4-positive, alpha-beta T cell proliferation",10,-0.656391129141192,-1.58742397864949,0.0236500898141287,0.272486132838863,0.180786367207748,1536,"tags=40%, list=11%, signal=36%","654346/284194/975/64115",0.352487857583619
"GO:0061564","axon development",286,0.300939813000608,1.5848277799854,0.00019280152687325,0.0121817394828733,0.00808221836625426,2602,"tags=27%, list=18%, signal=22%","5747/23499/59277/10371/9175/4897/6868/23022/6792/7976/3717/8301/1719/7074/9252/3897/51062/7204/8609/288/1000/80208/84612/5727/56288/5764/6259/5795/5728/6683/9706/2534/153478/55740/2043/627/203228/23032/6091/8997/85440/26230/5048/5578/22902/6654/54798/10890/64218/659/25942/4781/2932/10675/4983/1946/4131/214/2045/6498/22876/345651/4898/66008/57698/23390/23369/999/1948/26128/144165/5532/8239/55605/57453/2803",0.518848077743792
"GO:0051204","protein insertion into mitochondrial membrane",30,-0.485988498583569,-1.58388210819803,0.0314911299290452,0.313639404164171,0.208090327024363,2869,"tags=50%, list=20%, signal=40%","90580/1678/5018/26520/23788/140823/26521/26517/56993/4580/29928/617/25813/26519/10452",0.321775918075361
"GO:0007264","small GTPase-mediated signal transduction",410,0.298459225142266,1.58364011303176,4.67724096828793e-06,0.000450548654584588,0.000298925503709409,2998,"tags=32%, list=21%, signal=26%","51571/10979/51196/57221/64283/10152/6792/19/9743/57493/27314/2059/23362/8301/5337/7074/4646/50650/23075/7204/10769/202243/343578/6016/9367/286205/84078/55103/57531/10602/9771/3685/11214/64121/9710/23179/84986/23433/57148/57186/26269/23677/81704/9265/56990/93663/10617/153478/10672/9649/10144/2339/10565/79658/6091/9693/6655/4763/6453/8997/65979/8502/55667/23365/85440/23779/26230/5898/1793/9732/137735/23380/253959/391/23348/6654/5291/3845/8473/139818/8874/8087/121512/5500/57139/10451/57679/4983/57826/94134/85004/5962/9886/84144/9901/115273/394/8036/57584/57698/10260/5923/5922/9855/285282/10160/10564/55704/23092/5906/89839/5911/10251/6093/1121/23647/89846/4649/10787/83452/390/51735/10928/201475/10252/4925/80005/84033/23607/8936/28512/998/889",0.610526878385931
"GO:0035999","tetrahydrofolate interconversion",10,-0.654502838816006,-1.58285731525662,0.0246153850047941,0.276558321774704,0.183488142291215,813,"tags=30%, list=6%, signal=28%","4522/10840/7298",0.352487857583619
"GO:0141188","nucleic acid catabolic process",353,-0.324340816856395,-1.58093159918652,7.36328738053956e-05,0.00527642398146957,0.0035007488767211,2976,"tags=30%, list=21%, signal=24%","401115/25819/25804/28960/53918/9567/57819/55756/85456/22794/1869/64852/79002/54915/11187/4116/4849/207/678/84305/5518/79034/7186/80198/10949/387338/80789/6637/7538/5394/1994/3183/9470/11219/9238/23016/79068/668/51013/51690/80153/10940/5976/80349/6923/8570/3184/23381/5436/9271/9811/6832/389421/149986/2021/6050/23404/677/3669/328/1478/23367/54973/708/6636/11157/6628/10922/581/8148/56339/23357/162989/23644/54555/1676/8882/60528/55095/57109/8189/90850/81892/10758/10189/80335/115572/3182/118460/2237/4830/9775/23211/2521/84069/7431/51154/1774/4234/56915/79798/124245/10921/9704/56006",0.538434096309916
"GO:1902455","negative regulation of stem cell population maintenance",19,0.511727004289312,1.57958042640409,0.0477758662042888,0.393498020610378,0.261074121124757,3249,"tags=53%, list=23%, signal=41%","5928/64426/58516/8473/25942/51742/5926/3066/79685/3622",0.321775918075361
"GO:0060339","negative regulation of type I interferon-mediated signaling pathway",18,-0.55942290037047,-1.57564837542879,0.0466308554082873,0.388922718487729,0.258038545548803,2094,"tags=44%, list=15%, signal=38%","23170/4938/9470/58509/4940/56339/9636/79594",0.321775918075361
"GO:1904871","positive regulation of protein localization to Cajal body",10,-0.651340280955497,-1.57520894836262,0.0262242114926531,0.282880974063921,0.187683032235069,2777,"tags=50%, list=20%, signal=40%","10575/10574/7203/22948/56257",0.352487857583619
"GO:0060113","inner ear receptor cell differentiation",20,0.509360792891183,1.57226560260791,0.0330083435687021,0.316406242756434,0.209926041350572,1348,"tags=30%, list=10%, signal=27%","5357/5205/4646/84059/54845/5048",0.321775918075361
"GO:0006690","icosanoid metabolic process",67,-0.404659186877688,-1.57146360270733,0.0126419184026825,0.194970842503428,0.129357299618888,1467,"tags=27%, list=10%, signal=24%","2166/221955/231/4258/873/7132/8824/1555/8644/2171/4363/59344/1646/11343/10280/3553/6916/29785",0.380730400722792
"GO:0086001","cardiac muscle cell action potential",49,0.410201806824798,1.57067745128103,0.0069789361323757,0.144905401815688,0.0961403830356718,2081,"tags=33%, list=15%, signal=28%","1824/23171/288/1525/23327/817/5318/153396/57657/6334/481/1739/10142/388591/10008/30819",0.407017918923954
"GO:0120254","olefinic compound metabolic process",99,-0.379906730101466,-1.56881691167479,0.00372654198868744,0.102803571481349,0.0682070827989103,4050,"tags=48%, list=29%, signal=35%","127281/8228/1609/2879/5742/728635/8854/8630/1181/30/9415/57406/215/54884/1056/8912/80142/64834/9536/57016/3292/2950/2876/8605/1645/654/4259/2053/10901/2166/221955/231/84649/8824/1555/317749/112724/8644/59344/1646/10170/11343/3291/10280/126/3991/5950/29785",0.431707695803346
"GO:0055002","striated muscle cell development",74,0.37246524493594,1.56822882369063,0.0095958625923845,0.169385639686271,0.112382285795624,921,"tags=18%, list=7%, signal=17%","10529/29767/8470/4211/27086/5465/7168/1525/11214/80206/10611/5530/51804",0.380730400722792
"GO:1903715","regulation of aerobic respiration",22,-0.513666747376584,-1.56527400538845,0.0320293319910919,0.313639404164171,0.208090327024363,3180,"tags=59%, list=22%, signal=46%","387/84275/215/84300/29997/6472/402/65018/23479/7415/11315/10105/9555",0.321775918075361
"GO:0007409","axonogenesis",256,0.308069497779066,1.56469624911682,0.000172838553574107,0.0114052578431225,0.0075670461136645,2602,"tags=27%, list=18%, signal=23%","5747/23499/59277/10371/9175/4897/6868/23022/6792/7976/8301/7074/9252/3897/51062/7204/8609/288/1000/80208/84612/5727/56288/6259/5795/5728/6683/9706/2534/153478/55740/2043/627/203228/23032/6091/8997/85440/26230/5048/5578/22902/6654/54798/10890/64218/659/25942/4781/2932/4983/1946/4131/214/2045/6498/345651/4898/66008/57698/23390/999/1948/26128/144165/5532/8239/55605/57453/2803",0.518848077743792
"GO:0032535","regulation of cellular component size",236,0.30530922702802,1.56260440872576,0.000499913049682451,0.0259652670207599,0.0172271750101803,2005,"tags=24%, list=14%, signal=21%","51571/130271/23499/6840/10371/9175/5357/29767/4897/6792/2059/8301/6558/3897/120/23075/343578/5921/196527/51652/1000/10677/10602/85464/5728/9530/9706/93663/8800/627/10565/51429/5581/1073/5048/22902/85477/9873/5290/659/25942/29766/1182/10451/55604/2932/9943/64798/57679/1946/5865/5962/4131/4690/7111/2045",0.477270815362862
"GO:0061644","protein localization to CENP-A containing chromatin",6,-0.743849929841215,-1.56257864973621,0.0249137728576006,0.277761666290305,0.184286525244536,3465,"tags=83%, list=25%, signal=63%","8365/1058/8370/8970/554313",0.352487857583619
"GO:0035279","miRNA-mediated gene silencing by mRNA destabilization",6,0.743869968518776,1.55878828741272,0.0327522869503477,0.314979440458663,0.20897940086854,2093,"tags=67%, list=15%, signal=57%","192669/27161/9337/57472",0.321775918075361
"GO:0035332","positive regulation of hippo signaling",14,0.554076423726947,1.55835899979108,0.0360610955954168,0.335234244860635,0.222417855399,1585,"tags=29%, list=11%, signal=25%","6788/57561/5784/6789",0.321775918075361
"GO:0060123","regulation of growth hormone secretion",4,0.827001331519492,1.55737752236996,0.0222731356878754,0.264397869296881,0.175420047213627,2439,"tags=75%, list=17%, signal=62%","55636/6453/2550",0.352487857583619
"GO:0048596","embryonic camera-type eye morphogenesis",9,0.644017042635164,1.55521700479808,0.0248091358571001,0.277673299612038,0.184227896606889,1527,"tags=44%, list=11%, signal=40%","204851/64220/65979/7855",0.352487857583619
