"pathway","ENTREZID","SYMBOL","GENENAME"
"Hallmark_Oxidative_Phosphorylation","6183","MRPS12","mitochondrial ribosomal protein S12"
"Hallmark_Oxidative_Phosphorylation","2806","GOT2","glutamic-oxaloacetic transaminase 2"
"Hallmark_Oxidative_Phosphorylation","92609","TIMM50","translocase of inner mitochondrial membrane 50"
"KEGG_Spliceosome","5093","PCBP1","poly(rC) binding protein 1"
"KEGG_Spliceosome","9410","SNRNP40","small nuclear ribonucleoprotein U5 subunit 40"
"KEGG_Spliceosome","7307","U2AF1","U2 small nuclear RNA auxiliary factor 1"
"KEGG_Spliceosome","6427","SRSF2","serine and arginine rich splicing factor 2"
"KEGG_Spliceosome","25804","LSM4","LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated"
"KEGG_Spliceosome","57819","LSM2","LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated"
"KEGG_Spliceosome","55702","YJU2","YJU2 splicing factor homolog"
"KEGG_Spliceosome","22794","CASC3","CASC3 exon junction complex subunit"
"KEGG_Spliceosome","23020","SNRNP200","small nuclear ribonucleoprotein U5 subunit 200"
"KEGG_Spliceosome","4116","MAGOH","mago homolog, exon junction complex subunit"
"KEGG_Spliceosome","79228","THOC6","THO complex subunit 6"
"KEGG_Spliceosome","9128","PRPF4","pre-mRNA splicing tri-snRNP complex factor PRPF4"
"KEGG_Spliceosome","6100","RP9","RP9 pre-mRNA splicing factor"
"KEGG_Spliceosome","10291","SF3A1","splicing factor 3a subunit 1"
"KEGG_Spliceosome","10907","TXNL4A","thioredoxin like 4A"
"KEGG_Spliceosome","6632","SNRPD1","small nuclear ribonucleoprotein D1 polypeptide"
"KEGG_Spliceosome","6637","SNRPG","small nuclear ribonucleoprotein polypeptide G"
"KEGG_Spliceosome","8449","DHX16","DEAH-box helicase 16"
"KEGG_Spliceosome","151903","CCDC12","coiled-coil domain containing 12"
"KEGG_Spliceosome","10594","PRPF8","pre-mRNA processing factor 8"
"KEGG_Spliceosome","8175","SF3A2","splicing factor 3a subunit 2"
"KEGG_Spliceosome","51729","WBP11","WW domain binding protein 11"
"KEGG_Spliceosome","9129","PRPF3","pre-mRNA processing factor 3"
"KEGG_Spliceosome","56259","CTNNBL1","catenin beta like 1"
"KEGG_Spliceosome","3183","HNRNPC","heterogeneous nuclear ribonucleoprotein C"
"KEGG_Spliceosome","6626","SNRPA","small nuclear ribonucleoprotein polypeptide A"
"KEGG_Spliceosome","56949","XAB2","XPA binding protein 2"
"KEGG_Spliceosome","10713","USP39","ubiquitin specific peptidase 39"
"KEGG_Spliceosome","51690","LSM7","LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated"
"KEGG_Spliceosome","10465","PPIH","peptidylprolyl isomerase H"
"KEGG_Spliceosome","1659","DHX8","DEAH-box helicase 8"
"KEGG_Spliceosome","10992","SF3B2","splicing factor 3b subunit 2"
"KEGG_Spliceosome","199746","U2AF1L4","U2 small nuclear RNA auxiliary factor 1 like 4"
"KEGG_Spliceosome","83443","SF3B5","splicing factor 3b subunit 5"
"KEGG_Spliceosome","9092","SART1","spliceosome associated factor 1, recruiter of U4/U6.U5 tri-snRNP"
"KEGG_Spliceosome","84321","THOC3","THO complex subunit 3"
"KEGG_Spliceosome","8563","THOC5","THO complex subunit 5"
"KEGG_Spliceosome","6627","SNRPA1","small nuclear ribonucleoprotein polypeptide A'"
"KEGG_Spliceosome","4809","SNU13","small nuclear ribonucleoprotein 13"
"KEGG_Spliceosome","22985","ACIN1","apoptotic chromatin condensation inducer 1"
"KEGG_Spliceosome","3310","HSPA6","heat shock protein family A (Hsp70) member 6"
"KEGG_Spliceosome","84844","PHF5A","PHD finger protein 5A"
"KEGG_Spliceosome","3190","HNRNPK","heterogeneous nuclear ribonucleoprotein K"
